tier	file	line	kind	name	attrs	boneyard_refs	orphan_module
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	802	theorem	BurgessR3Maximal_burgessRSetSince		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	823	theorem	burgessR3_untl_in		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	832	theorem	burgessR3_snce_in		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	849	theorem	burgessR3_gamma_not_in_B		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	864	theorem	burgessR3_gamma_not_in_B_since		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	890	theorem	dcs_neg_insert_consistent		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	1472	theorem	burgessRSet_iff_burgessRSetSince		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Chronicle/RRelation.lean	1507	theorem	burgessR3_untl_conj_in_A		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Filtration/DefectChain.lean	68	def	IsUntilDefect		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Filtration/DefectChain.lean	95	theorem	defect_step_connect		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Filtration/DefectChain.lean	113	def	sigmaSinceDefectCount		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Filtration/DefectChain.lean	119	theorem	since_defect_step_P_psi		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Filtration/DefectChain.lean	127	theorem	since_defect_step_connect		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Frame.lean	388	theorem	bx_modal_equiv_refl		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Frame.lean	391	theorem	bx_modal_equiv_symm		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Frame.lean	395	theorem	bx_modal_equiv_trans		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Frame.lean	641	theorem	bx_modal_equiv_of_bx_le		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/OrderedSeedConsistency.lean	188	theorem	two_defect_consistent_seed		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/OrderedSeedConsistency.lean	234	theorem	no_new_f_defects		1	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/OrderedSeedConsistency.lean	252	theorem	resolved_target_in_successor		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Construction.lean	120	theorem	self_accum_mcs		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Construction.lean	156	theorem	since_P_mcs		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Construction.lean	297	theorem	hintikka_step_target_decrease_since		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Construction.lean	362	def	QuasimodelChain.witnessReached		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Construction.lean	371	theorem	QuasimodelChain.length_pos		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Construction.lean	796	theorem	chain_step_seed_consistent_since		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Construction.lean	809	theorem	hintikka_chain_guard_step		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/HintikkaPoint.lean	73	theorem	HintikkaPoint.mem_sigma		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/HintikkaPoint.lean	78	theorem	HintikkaPoint.not_mem_of_neg_mem		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/HintikkaPoint.lean	140	theorem	sigma_signature_mem		21	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/HintikkaPoint.lean	147	theorem	hintikka_point_formulas_injective		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Realization.lean	59	theorem	F_from_above		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Realization.lean	202	theorem	chain_step_seed_consistent_enriched_since		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Realization.lean	455	theorem	SubformulaClosure.H_closed		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/Realization.lean	490	theorem	SubformulaClosure.untl_closed		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/SubformulaClosure.lean	89	theorem	g_enrichment_mem		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/SubformulaClosure.lean	97	theorem	h_enrichment_mem		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/SubformulaClosure.lean	104	theorem	closure_finite		0	
SURVIVOR	FormalSystem/Metalogic/BXCanonical/Quasimodel/SubformulaClosure.lean	110	theorem	neg_pairing		0	
