name	category	kind	module
FormalSystem.Metalogic.BXCanonical.Chronicle.collapseClass_linearOrder	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.embed_forward	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.embed_backward	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_embed	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_f	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_zero	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.discrete_fmcs	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.succ_embed	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.succ_discrete_f	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.succ_discrete_fmcs	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.shifted_succ_discrete_fmcs	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.rooted_succ_discrete_fmcs	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_bfmcs_discrete	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodel
FormalSystem.Metalogic.BXCanonical.Chronicle.top_formula	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.next_top	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_iso_dense	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_f_dense	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_zero_dense	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_fmcs_dense	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.shifted_cantor_fmcs_dense'	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.rooted_cantor_fmcs_dense	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.cantor_bfmcs_dense	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_succ	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_succOrder	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_pred	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.limitDomSubtype_predOrder	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.ChronicleToCountermodelBasic
FormalSystem.Metalogic.BXCanonical.Chronicle.eliminate_potential_counterexample	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.CounterexampleElimination
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEvent.h_impl	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEvent.h_snce	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEventSince.h_impl	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion
FormalSystem.Metalogic.BXCanonical.Chronicle.EnrichedEventSince.h_untl	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.PointInsertion
FormalSystem.Metalogic.BXCanonical.Chronicle.derivation_from_singleton_list	data	def	FormalSystem.Metalogic.BXCanonical.Chronicle.RRelation
FormalSystem.Metalogic.BXCanonical.Filtration.is_until_defect	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Filtration.DefectChain
FormalSystem.Metalogic.BXCanonical.Filtration.sigma_defect_count	data	def	FormalSystem.Metalogic.BXCanonical.Filtration.DefectChain
FormalSystem.Metalogic.BXCanonical.Filtration.sigma_since_defect_count	data	def	FormalSystem.Metalogic.BXCanonical.Filtration.DefectChain
FormalSystem.Metalogic.BXCanonical.bx_le	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Frame
FormalSystem.Metalogic.BXCanonical.bx_modal_equiv	prop_valued_definition	def	FormalSystem.Metalogic.BXCanonical.Frame
FormalSystem.Metalogic.BXCanonical.neg_box_to_box_neg_box	data	def	FormalSystem.Metalogic.BXCanonical.Frame
