old_name	target_final	full_target	category	module	usages	source
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastGapD	kvEPastGapD	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastGapD	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	23	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastGapZone	kvEPastGapZone	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastGapZone	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	32	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastPos	kvEPastPos	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastPos	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	25	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastPossibleZones	kvEPastPossibleZones	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastPossibleZones	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	5	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastRayD	kvEPastRayD	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastRayD	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	7	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastRayForm	kvEPastRayForm	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastRayForm	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	6	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastRayZone	kvEPastRayZone	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastRayZone	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	17	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastSelfZone	kvEPastSelfZone	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastSelfZone	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorNegationPastK	34	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastSliceEq	kvEPastSliceEq	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastSliceEq	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorPinnedConversePastK	15	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_pastSliceMarked	kvEPastSliceMarked	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEPastSliceMarked	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorPinnedConversePastK	15	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_projFreshD	kvEProjFreshD	FormalSystem.Metalogic.WeakCanonical.Kamp.kvEProjFreshD	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorBracketK	4	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_sepPos	kvESepPos	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESepPos	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorBracketK	4	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_sub2_zUW	kvESub2ZUW	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESub2ZUW	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket2	41	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_sub2_zWT	kvESub2ZWT	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESub2ZWT	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket2	66	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_sub2_zXU	kvESub2ZXU	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESub2ZXU	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket2	89	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subBit	kvESubBit	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubBit	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.ExteriorBracketK	21	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subBracket	kvESubBracket	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubBracket	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket	9	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subBracket2	kvESubBracket2	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubBracket2	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket2	16	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subBracket2V	kvESubBracket2V	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubBracket2V	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket2V	18	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subChain	kvESubChain	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubChain	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket	1	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subChain2	kvESubChain2	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubChain2	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket2	2	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subChain2V	kvESubChain2V	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubChain2V	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket2V	5	flagged
FormalSystem.Metalogic.WeakCanonical.Kamp.kvE_subFoldBits	kvESubFoldBits	FormalSystem.Metalogic.WeakCanonical.Kamp.kvESubFoldBits	data	FormalSystem.Metalogic.WeakCanonical.Kamp.NfMultiAnchorBridge.SubBracket	3	flagged
